file,shots,input,counts
qaoa_indep_qiskit_4,20000,'0000',"{'0110': 10012, '1001': 9988}"
qaoa_indep_qiskit_4,20000,'0001',"{'0101': 1272, '1111': 1253, '1100': 1247, '1001': 1263, '0001': 2695, '0000': 1252, '1110': 2673, '0010': 753, '0100': 751, '1000': 802, '0110': 1287, '0011': 1243, '1010': 1238, '1101': 745, '1011': 767, '0111': 759}"
qaoa_indep_qiskit_4,20000,'0010',"{'0101': 1272, '1111': 1253, '1100': 1247, '1001': 1263, '0010': 2641, '0000': 1252, '1101': 2677, '0100': 751, '1000': 802, '0110': 1287, '0011': 1243, '1010': 1239, '0001': 807, '1011': 766, '0111': 759, '1110': 741}"
qaoa_indep_qiskit_4,20000,'0011',"{'0111': 3314, '1100': 1533, '1010': 1537, '1000': 3300, '0100': 3242, '0011': 1589, '1011': 3254, '0101': 1507, '1101': 183, '0001': 163, '0010': 197, '1110': 181}"
qaoa_indep_qiskit_4,20000,'0100',"{'0101': 1272, '1111': 1253, '1011': 2641, '1001': 1263, '0011': 1244, '0000': 1252, '1101': 809, '1100': 1240, '0100': 2640, '1000': 802, '0110': 1287, '1010': 1239, '0010': 751, '0001': 807, '0111': 759, '1110': 741}"
qaoa_indep_qiskit_4,20000,'0101',"{'0111': 3314, '1101': 3275, '1010': 1537, '1000': 3300, '0010': 3308, '0011': 1534, '0101': 1507, '1100': 1529, '0100': 186, '0001': 163, '1011': 166, '1110': 181}"
qaoa_indep_qiskit_4,20000,'0110',"{'0101': 1938, '1110': 1560, '1011': 1524, '1010': 1892, '0011': 1917, '0001': 1576, '1101': 1533, '1100': 1892, '0100': 1507, '1000': 1587, '0111': 1562, '0010': 1512}"
qaoa_indep_qiskit_4,20000,'0111',"{'0101': 1270, '1111': 1257, '1100': 1246, '1001': 1260, '0001': 2692, '0000': 1255, '1110': 2672, '1010': 1238, '0010': 755, '0100': 751, '1000': 802, '0110': 1285, '0011': 1245, '1101': 744, '1011': 769, '0111': 759}"
qaoa_indep_qiskit_4,20000,'1000',"{'0111': 2713, '1111': 1253, '1010': 1221, '1000': 2727, '0011': 1244, '0000': 1252, '1101': 809, '1100': 1240, '0100': 763, '0110': 1256, '0101': 1226, '0010': 751, '1011': 753, '0001': 807, '1001': 1244, '1110': 741}"
qaoa_indep_qiskit_4,20000,'1001',"{'0101': 1938, '1110': 1560, '1011': 1524, '1010': 1892, '0011': 1917, '0001': 1576, '1101': 1533, '1100': 1892, '0100': 1507, '1000': 1587, '0111': 1562, '0010': 1512}"
qaoa_indep_qiskit_4,20000,'1010',"{'0100': 3273, '1110': 3263, '1011': 3234, '0001': 3263, '1101': 193, '0011': 1534, '1010': 1559, '0101': 1551, '1100': 1529, '0010': 208, '0111': 183, '1000': 210}"
qaoa_indep_qiskit_4,20000,'1011',"{'0101': 1270, '1111': 1257, '1100': 1246, '1001': 1261, '0010': 2639, '0000': 1255, '1101': 2678, '1010': 1237, '0100': 751, '1000': 802, '0110': 1285, '0011': 1245, '0001': 808, '1011': 769, '0111': 759, '1110': 738}"
qaoa_indep_qiskit_4,20000,'1100',"{'0011': 1567, '1110': 3263, '1101': 3245, '1100': 1531, '0001': 3263, '0010': 3244, '1010': 1559, '0101': 1551, '1011': 180, '0111': 183, '1000': 210, '0100': 204}"
qaoa_indep_qiskit_4,20000,'1101',"{'0101': 1270, '1111': 1257, '1011': 2644, '1001': 1261, '0011': 1245, '0000': 1255, '1101': 809, '1010': 1237, '1100': 1240, '0100': 2641, '1000': 802, '0110': 1285, '0010': 749, '0001': 808, '0111': 759, '1110': 738}"
qaoa_indep_qiskit_4,20000,'1110',"{'0111': 2713, '1111': 1257, '1010': 1221, '1000': 2727, '0011': 1245, '0000': 1255, '1101': 809, '1100': 1240, '0100': 761, '0110': 1252, '0101': 1229, '0010': 749, '1011': 754, '0001': 808, '1001': 1242, '1110': 738}"
qaoa_indep_qiskit_4,20000,'1111',"{'0000': 10012, '1111': 9988}"
