Run,Algorithm,Fitness_GA,Evaluation_GA,Fitness_RS,Evaluation_RS
1,ae_1,1,536,1,637
10,ae_1,1,216,1,18
11,ae_1,1,516,1,1146
12,ae_1,1,118,1,517
13,ae_1,1,987,1,109
14,ae_1,1,58,1,111
15,ae_1,1,193,1,61
16,ae_1,1,286,1,1019
17,ae_1,1,856,1,1438
18,ae_1,1,186,1,1869
19,ae_1,1,84,1,581
2,ae_1,1,55,1,346
20,ae_1,1,190,1,1737
21,ae_1,1,366,1,288
22,ae_1,1,229,1,262
23,ae_1,1,395,1,890
24,ae_1,1,375,1,447
25,ae_1,1,527,1,86
26,ae_1,1,214,1,1274
27,ae_1,1,181,1,156
28,ae_1,1,162,1,455
29,ae_1,1,391,1,447
3,ae_1,1,182,1,352
30,ae_1,1,285,1,1295
4,ae_1,1,166,1,101
5,ae_1,1,690,1,1165
6,ae_1,1,71,1,238
7,ae_1,1,343,1,2273
8,ae_1,1,152,1,1190
9,ae_1,1,416,1,540
1,ghz_1,8,125,8,278
10,ghz_1,8,556,8,1338
11,ghz_1,8,740,8,733
12,ghz_1,8,2810,8,1303
13,ghz_1,8,353,8,713
14,ghz_1,8,41,8,638
15,ghz_1,8,3645,8,32
16,ghz_1,8,617,8,841
17,ghz_1,8,1015,8,728
18,ghz_1,8,6014,8,618
19,ghz_1,8,1898,8,3398
2,ghz_1,8,939,8,643
20,ghz_1,8,539,8,922
21,ghz_1,8,342,8,21
22,ghz_1,8,4117,8,993
23,ghz_1,8,69,8,1532
24,ghz_1,8,9842,8,239
25,ghz_1,8,2247,8,49
26,ghz_1,8,1313,8,29
27,ghz_1,8,328,8,101
28,ghz_1,8,1467,8,64
29,ghz_1,8,4594,8,2475
3,ghz_1,8,1343,8,39
30,ghz_1,8,1517,8,821
4,ghz_1,8,2248,8,1046
5,ghz_1,8,52,8,532
6,ghz_1,8,747,8,922
7,ghz_1,8,351,8,352
8,ghz_1,8,927,8,6
9,ghz_1,8,541,8,339
1,grover_1,1,121,1,851
10,grover_1,1,1687,1,516
11,grover_1,1,18835,1,1790
12,grover_1,1,2780,1,1785
13,grover_1,1,938,1,4052
14,grover_1,1,18157,1,549
15,grover_1,1,91,1,509
16,grover_1,1,119,1,4061
17,grover_1,1,347,1,1268
18,grover_1,1,7290,1,445
19,grover_1,1,731,1,341
2,grover_1,1,539,1,619
20,grover_1,1,136,1,2169
21,grover_1,1,77978,1,2621
22,grover_1,1,1131,1,3046
23,grover_1,1,220,1,757
24,grover_1,1,21044,1,4463
25,grover_1,1,1297,1,3296
26,grover_1,1,557,1,7059
27,grover_1,1,1195,1,7681
28,grover_1,1,121,1,2945
29,grover_1,1,260,1,4057
3,grover_1,1,431,1,13598
30,grover_1,1,21323,1,1151
4,grover_1,1,247,1,3769
5,grover_1,1,143,1,2497
6,grover_1,1,546,1,3937
7,grover_1,1,514,1,2669
8,grover_1,1,19,1,3542
9,grover_1,1,1192,1,335
1,qaoa_1,1,1001,1,12342
10,qaoa_1,1,641,1,5689
11,qaoa_1,1,73,1,18618
12,qaoa_1,1,1662,1,2969
13,qaoa_1,1,3097,1,232
14,qaoa_1,1,89,1,6480
15,qaoa_1,1,65,1,1397
16,qaoa_1,1,123,1,1057
17,qaoa_1,1,240,1,2223
18,qaoa_1,1,452,1,1981
19,qaoa_1,1,73,1,774
2,qaoa_1,1,335,1,1607
20,qaoa_1,1,230,1,6406
21,qaoa_1,1,711,1,7975
22,qaoa_1,1,692,1,4590
23,qaoa_1,1,136,1,8589
24,qaoa_1,1,230,1,2236
25,qaoa_1,1,246,1,6823
26,qaoa_1,1,758,1,4780
27,qaoa_1,1,209,1,1942
28,qaoa_1,1,38,1,1196
29,qaoa_1,1,163,1,4411
3,qaoa_1,1,1273,1,7200
30,qaoa_1,1,561,1,245
4,qaoa_1,1,2982,1,2193
5,qaoa_1,1,21,1,2306
6,qaoa_1,1,178,1,433
7,qaoa_1,1,496,1,5230
8,qaoa_1,1,1694,1,5051
9,qaoa_1,1,555,1,898
1,vqe_1,1,7808,1,19458
10,vqe_1,1,196,1,16940
11,vqe_1,1,346,1,30205
12,vqe_1,1,1834,1,2108
13,vqe_1,1,378,1,6210
14,vqe_1,1,32474,1,125
15,vqe_1,1,160,1,4838
16,vqe_1,1,596,1,9782
17,vqe_1,1,142,1,6029
18,vqe_1,1,1687,1,23220
19,vqe_1,1,102,1,1791
2,vqe_1,1,186,1,9742
20,vqe_1,1,1186,1,5866
21,vqe_1,1,188,1,10279
22,vqe_1,1,257,1,10381
23,vqe_1,1,85,1,3684
24,vqe_1,1,516,1,3887
25,vqe_1,1,211,1,14
26,vqe_1,1,425,1,12013
27,vqe_1,1,384,1,1252
28,vqe_1,1,170,1,842
29,vqe_1,1,230,1,22174
3,vqe_1,1,182,1,2996
30,vqe_1,1,225,1,6516
4,vqe_1,1,1534,1,30581
5,vqe_1,1,2999,1,4568
6,vqe_1,1,495,1,6849
7,vqe_1,1,10401,1,3040
8,vqe_1,1,120,1,5014
9,vqe_1,1,350,1,3928
